[Inference] gamma_0950
[Episode 132] [capture] total_captures = 132, lone_wolf_captures = 115, prey_survived_step = 1601, predator_distance = 35.54613, avg_predator_distance = 29.49835, predator_proximity_rate = 0, score = 0.8712121
[Episode 133] [capture] total_captures = 133, lone_wolf_captures = 116, prey_survived_step = 104, predator_distance = 39.19721, avg_predator_distance = 32.78074, predator_proximity_rate = 0, score = 0.8721805
[Episode 134] [capture] total_captures = 134, lone_wolf_captures = 117, prey_survived_step = 395, predator_distance = 30.01569, avg_predator_distance = 32.52181, predator_proximity_rate = 0, score = 0.8731343
[Episode 135] [capture] total_captures = 135, lone_wolf_captures = 118, prey_survived_step = 648, predator_distance = 33.75665, avg_predator_distance = 30.57124, predator_proximity_rate = 0, score = 0.8740741
[Episode 136] [capture] total_captures = 136, lone_wolf_captures = 119, prey_survived_step = 346, predator_distance = 8.300083, avg_predator_distance = 7.696321, predator_proximity_rate = 0.6531792, score = 0.875
[Episode 137] [capture] total_captures = 137, lone_wolf_captures = 120, prey_survived_step = 244, predator_distance = 21.53169, avg_predator_distance = 16.77861, predator_proximity_rate = 0, score = 0.8759124
[Episode 138] [capture] total_captures = 138, lone_wolf_captures = 121, prey_survived_step = 1062, predator_distance = 15.81273, avg_predator_distance = 29.4193, predator_proximity_rate = 0, score = 0.8768116
[Episode 139] [capture] total_captures = 139, lone_wolf_captures = 122, prey_survived_step = 306, predator_distance = 29.85081, avg_predator_distance = 26.36956, predator_proximity_rate = 0, score = 0.8776978
[Episode 140] [capture] total_captures = 140, lone_wolf_captures = 122, prey_survived_step = 717, predator_distance = 3.193193, avg_predator_distance = 3.478606, predator_proximity_rate = 0.9958159, score = 0.8714285
[Episode 141] [capture] total_captures = 141, lone_wolf_captures = 123, prey_survived_step = 697, predator_distance = 23.22566, avg_predator_distance = 21.7767, predator_proximity_rate = 0, score = 0.8723404
[Episode 142] [capture] total_captures = 142, lone_wolf_captures = 124, prey_survived_step = 376, predator_distance = 12.1863, avg_predator_distance = 23.87406, predator_proximity_rate = 0, score = 0.8732395
